Run Results Report

 Kellogg Biological Station LTER
 Flow Solution IV
 Inorganic N Analysis

	Operator Name	Cathy
	Operator ID	Cathy

	Result path	Z:\LTERSO~1\03262012.RST
	Sample table path	Z:\TABLES\03262012.tbl
	Method path	Z:\METHODS\ltern.mth
	Date acquired	24-Oct-12
	Time acquired	15:01--------------------------

                                        |------------------------------- NH4 ------------------------------|     |------------------------------- NO3 ------------------------------|
							Mean	Mean					Mean	Mean	
	Time	Cup	Name	Response	Calc	Flags	Response	Calc	RSD	Response	Calc	Flags	Response	Calc	RSD
					[ppm]			[ppm]			[ppm]			[ppm]	--------------------------

	09:15		  User request: Start Data Collect												
	09:34		  Begin Pass 1												
	09:34	12	Sync	   427818	   3.956					   392068	   4.177				
	09:35	0	Carryover	     1117	  -0.043	LO				     1895	   0.016				
	09:37	0	Carryover	       48	  -0.053	LO				       82	  -0.003	LO			
			 (Statistics)				      583	  -0.048	NoRSD				      988	   0.007	NoRSD
	09:38	0	Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	09:39	1	Cal 0.00 ppm	      607	  -0.048	LO				       36	  -0.004	LO			
	09:40	1	Cal 0.00 ppm	      620	  -0.048	LO				       -9	  -0.004	LO			
			 (Statistics)				      613	  -0.048	NoRSD				       13	  -0.004	NoRSD
	09:41	2	Cal 0.10 ppm	    32727	   0.253					    12511	   0.129				
	09:43	2	Cal 0.10 ppm	    32437	   0.250					    12303	   0.127				
			 (Statistics)				    32582	   0.252	NoRSD				    12407	   0.128	NoRSD
	09:44	3	Cal 0.20 ppm	    22684	   0.159					    16315	   0.170				
	09:45	3	Cal 0.20 ppm	    22830	   0.160					    16225	   0.169				
			 (Statistics)				    22757	   0.160	NoRSD				    16270	   0.170	NoRSD
	09:46	4	Cal 0.50 ppm	    57542	   0.486					    47028	   0.497				
	09:47	4	Cal 0.50 ppm	    57410	   0.484					    46641	   0.493				
			 (Statistics)				    57476	   0.485	NoRSD				    46834	   0.495	NoRSD
	09:48	5	Cal 1.00 ppm	   108074	   0.959					    92491	   0.982				
	09:50	5	Cal 1.00 ppm	   108341	   0.962					    93207	   0.990				
			 (Statistics)				   108208	   0.961	NoRSD				    92849	   0.986	NoRSD
	09:51	11	Cal 2.00 ppm	   221365	   2.021					   193584	   2.060				
	09:52	11	Cal 2.00 ppm	   220155	   2.010					   190390	   2.026				
			 (Statistics)				   220760	   2.015	NoRSD				   191987	   2.043	NoRSD
	09:53	12	Cal 4.00 ppm	   432108	   3.996					   374178	   3.986				
	09:54	12	Cal 4.00 ppm	   433377	   4.008					   373662	   3.980				
			 (Statistics)				   432742	   4.002	NoRSD				   373920	   3.983	NoRSD
	09:55	0	Blank	     -118	  -0.055	LO				      -35	  -0.004	LO			
	09:57	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	09:58	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	09:59	13	Eff 1.0 NO2 Std	     8403	   0.025					    99248	   1.054				
	10:00	13	Eff 1.0 NO2 Std	     8412	   0.025					    97742	   1.038				
			 (Statistics)				     8408	   0.025	NoRSD				    98495	   1.046	NoRSD
	10:01	5	Eff 1.0 NO3 Std	   108988	   0.968					    90466	   0.961				
	10:02	5	Eff 1.0 NO3 Std	   108617	   0.964					    90242	   0.958				
			 (Statistics)				   108802	   0.966	NoRSD				    90354	   0.959	NoRSD
	10:04	14	ICV	    34253	   0.267					    23257	   0.244				
	10:05	14	ICV	    34268	   0.268					    23367	   0.245				
			 (Statistics)				    34261	   0.267	NoRSD				    23312	   0.245	NoRSD
	10:06	15	CCV	   108878	   0.967					    91430	   0.971				
	10:07	15	CCV	   109689	   0.974					    91873	   0.976				
			 (Statistics)				   109284	   0.971	NoRSD				    91652	   0.973	NoRSD
	10:08	0	Blank	       -2	  -0.054	LO				       -1	  -0.004	LO			
	10:09	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	10:11	0	Read Baseline	        0	  -0.054	BL				        0	  -0.004	BL			
	10:12	101	blanka	     1533	  -0.039	LO				      686	   0.003				
	10:13	102	blankb	     1436	  -0.040	LO				      685	   0.003				
	10:14	103	blankc	     1122	  -0.043	LO				      679	   0.003				
	10:15	104	1-1a	    13766	   0.075					     5842	   0.058				
	10:16	105	1-1b	    12228	   0.061					     5850	   0.058				
	10:18	106	1-1c	    11483	   0.054					     5731	   0.057				
	10:19	107	3-1a	    18658	   0.121					    10875	   0.112				
