Weight  [mg],Name,Method,N  Area,C  Area,N  Factor,C  Factor,N [%],C [%],C/N  ratio,Info,N  Blank,C  Blank,Prot.  Factor,Prot.  [%],Memo,Date       Time,
1,Blank-,Blank with O2,176,588,1,1,0,0,0,,176,588,0,0,,2025-02-26,13:07:04
1,Blank-,Blank with O2,0,13,1,1,0,0,0,,0,13,0,0,,2025-02-26,13:13:20
3.913,RunIn,5mg Standard,18217,79022,1,1,10.4131,64.0648,6.1523,,0,0,0,0,,2025-02-26,13:20:50
3.868,RunIn,5mg Standard,18025,78451,1,1,10.4234,64.3331,6.172,,0,0,0,0,,2025-02-26,13:28:24
3.849,acetanilide,5mg Standard,17841,77856,0.9992,1.1082,10.36,71.09,6.862,,0,0,0,0,,2025-02-26,13:35:54
3.24,acetanilide,5mg Standard,15006,66828,0.9997,1.0901,10.36,71.09,6.862,,0,0,0,0,,2025-02-26,13:43:24
3.637,acetanilide,5mg Standard,16881,74152,0.9978,1.1005,10.36,71.09,6.862,,0,0,0,0,,2025-02-26,13:50:52
3.652,plant blind,Plant,2324,45273,0.9989,1.0996,1.4362,42.653,29.699,,0,0,0,0,,2025-02-26,13:58:52
3.474,20201019-T01R1-ZEAMX.GR,Plant,2081,44087,0.9989,1.0996,1.3533,43.6262,32.2377,,0,0,0,0,,2025-02-26,14:06:53
4.526,20201019-T01R1-ZEAMX.GR,Plant,2757,56795,0.9989,1.0996,1.3723,43.4594,31.6689,,0,0,0,0,,2025-02-26,14:14:58
5.049,20201019-T01R1-ZEAMX.GR,Plant,3071,62857,0.9989,1.0996,1.3689,43.2223,31.5752,,0,0,0,0,,2025-02-26,14:22:58
3.306,20201019-T01R2-ZEAMX.GR,Plant,2082,42452,0.9989,1.0996,1.423,44.0869,30.9811,,0,0,0,0,,2025-02-26,14:30:57
4.175,20201019-T01R2-ZEAMX.GR,Plant,2421,52888,0.9989,1.0996,1.308,43.7892,33.4791,,0,0,0,0,,2025-02-26,14:48:41
4.78,20201019-T01R2-ZEAMX.GR,Plant,2752,59724,0.9989,1.0996,1.2967,43.3262,33.4116,,0,0,0,0,,2025-02-26,14:56:45
4.702,20201019-T01R3-ZEAMX.GR,Plant,3220,62094,0.9989,1.0996,1.5407,45.8352,29.7505,,0,0,0,0,,2025-02-26,15:04:51
3.719,20201019-T01R3-ZEAMX.GR,Plant,2080,48447,0.9989,1.0996,1.2635,44.9164,35.5481,,0,0,0,0,,2025-02-26,15:12:49
4.399,20201019-T01R3-ZEAMX.GR,Plant,2806,56967,0.9989,1.0996,1.4366,44.8526,31.2213,,0,0,0,0,,2025-02-26,15:20:52
4.836,20201020-T01R4-ZEAMX.GR,Plant,2940,60423,0.9989,1.0996,1.3685,43.3378,31.6674,,0,0,0,0,,2025-02-26,15:28:55
3.774,20201020-T01R4-ZEAMX.GR,Plant,2245,47876,0.9989,1.0996,1.3427,43.7241,32.5646,,0,0,0,0,,2025-02-26,15:36:54
4.28,20201020-T01R4-ZEAMX.GR,Plant,2716,54126,0.9989,1.0996,1.4294,43.7417,30.6004,,0,0,0,0,,2025-02-26,15:44:53
